YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,4,24,4/24/2018,UA,19977,UA,N14121,2015,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2115,224,309,309,1,12,2100-2159,18,242,0,,0,165,149,122,1,888,4,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N228UA,1995,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1615,1737,82,82,1,5,1600-1659,16,1753,0,,0,136,143,114,1,719,3,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N459UA,1778,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,809,833,24,24,1,1,0800-0859,16,849,0,,0,163,155,136,1,1050,5,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N454UA,1626,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,745,750,5,5,0,0,0700-0759,39,829,0,,0,124,144,97,1,719,3,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N76504,1510,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1125,1245,80,80,1,5,1100-1159,26,1311,0,,0,135,129,101,1,760,4,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N459UA,1446,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1535,1602,27,27,1,1,1500-1559,16,1618,0,,0,54,44,25,1,137,1,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N54711,1265,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1408,1521,73,73,1,4,1400-1459,16,1537,0,,0,118,102,81,1,606,3,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N39461,1263,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,805,837,32,32,1,2,0800-0859,20,857,0,,0,160,155,130,1,1012,5,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N35260,1250,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2122,2223,61,61,1,4,2100-2159,10,2233,0,,0,73,62,47,1,299,2,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N816UA,1166,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,800,836,36,36,1,2,0800-0859,12,848,0,,0,128,117,100,1,733,3,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N898UA,1110,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1415,1518,63,63,1,4,1400-1459,8,1526,0,,0,122,114,102,1,783,4,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N66837,725,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1000,1030,30,30,1,2,1000-1059,29,1059,0,,0,230,227,192,1,1440,6,0,,,
2018,4,24,4/24/2018,UA,19977,UA,N23707,702,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1808,1900,52,52,1,3,1800-1859,10,1910,0,,0,75,64,48,1,316,2,0,,,
