YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,12,27,12/27/2018,DL,19790,DL,N989AT,1186,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,905,944,39,39,1,2,0900-0959,14,958,0,,0,100,76,58,1,334,2,0,,,
2018,12,27,12/27/2018,DL,19790,DL,N923AT,1275,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1507,1524,17,17,1,1,1500-1559,22,1546,0,,0,123,145,115,1,606,3,0,,,
2018,12,27,12/27/2018,DL,19790,DL,N323NB,1953,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1341,1548,127,127,1,8,1300-1359,15,1603,0,,0,224,192,172,1,1250,6,0,,,
2018,12,27,12/27/2018,DL,19790,DL,N996AT,2677,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1738,1739,1,1,0,0,1700-1759,17,1756,0,,0,127,151,126,1,606,3,0,,,
2018,12,28,12/28/2018,DL,19790,DL,N943AT,1952,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1211,1338,87,87,1,5,1200-1259,35,1413,0,,0,99,94,54,1,334,2,8,,,
2018,12,28,12/28/2018,DL,19790,DL,N320NB,2136,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1515,1643,88,88,1,5,1500-1559,20,1703,0,,0,293,261,233,1,1721,7,0,1515,51,51
2018,12,28,12/28/2018,DL,19790,DL,N927AT,2677,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1738,1746,8,8,0,0,1700-1759,29,1815,0,,0,127,137,98,1,606,3,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N930AT,999,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1430,1455,25,25,1,1,1400-1459,15,1510,0,,0,122,124,101,1,733,3,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N930AT,1169,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2030,2055,25,25,1,1,2000-2059,24,2119,0,,0,129,130,99,1,733,3,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N935AT,1811,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1050,1141,51,51,1,3,1000-1059,18,1159,0,,0,84,74,50,1,235,1,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N980AT,1973,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,840,848,8,8,0,0,0800-0859,20,908,0,,0,110,127,99,1,606,3,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N608AT,2764,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,912,1129,137,137,1,9,0900-0959,17,1146,0,,0,88,80,54,1,235,1,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N359NB,2981,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1440,1500,20,20,1,1,1400-1459,52,1552,0,,0,280,312,248,1,1721,7,0,,,
2018,12,20,12/20/2018,DL,19790,DL,N363NB,2989,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1755,1844,49,49,1,3,1700-1759,37,1921,0,,0,282,288,242,1,1721,7,0,,,
2018,12,21,12/21/2018,DL,19790,DL,N916DE,343,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1716,1735,19,19,1,1,1700-1759,27,1802,0,,0,123,120,88,1,606,3,0,,,
2018,12,21,12/21/2018,DL,19790,DL,N930AT,999,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1430,1609,99,99,1,6,1400-1459,18,1627,0,,0,122,143,117,1,733,3,13,,,
2018,12,21,12/21/2018,DL,19790,DL,N956AT,1143,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,634,806,92,92,1,6,0600-0659,33,839,0,,0,95,92,50,1,235,1,0,630,50,50
2018,12,21,12/21/2018,DL,19790,DL,N930AT,1169,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2030,2239,129,129,1,8,2000-2059,19,2258,0,,0,129,125,99,1,733,3,0,,,
2018,12,21,12/21/2018,DL,19790,DL,N920DE,1477,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,705,719,14,14,0,0,0700-0759,34,753,0,,0,130,131,91,1,606,3,6,,,
2018,12,1,12/1/2018,NK,20416,NK,N668NK,409,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,515,547,32,32,1,2,0001-0559,13,600,0,,0,181,185,167,1,1182,5,0,,,
2018,12,11,12/11/2018,NK,20416,NK,N681NK,409,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,515,540,25,25,1,1,0001-0559,22,602,0,,0,181,176,150,1,1182,5,0,,,
2018,12,29,12/29/2018,NK,20416,NK,N662NK,409,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,515,633,78,78,1,5,0001-0559,23,656,0,,0,183,198,150,1,1182,5,0,516,42,42
2018,12,27,12/27/2018,NK,20416,NK,N683NK,425,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1836,1852,16,16,1,1,1800-1859,29,1921,0,,0,189,213,176,1,1182,5,0,,,
2018,12,29,12/29/2018,NK,20416,NK,N660NK,425,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1836,1902,26,26,1,1,1800-1859,44,1946,0,,0,189,204,151,1,1182,5,0,,,
2018,12,31,12/31/2018,NK,20416,NK,N683NK,425,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1836,1924,48,48,1,3,1800-1859,46,2010,0,,0,189,216,162,1,1182,5,0,,,
2018,12,21,12/21/2018,NK,20416,NK,N642NK,446,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1500,1533,33,33,1,2,1500-1559,24,1557,0,,0,120,116,84,1,606,3,0,,,
2018,12,1,12/1/2018,NK,20416,NK,N509NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2204,64,64,1,4,2100-2159,38,2242,0,,0,255,276,229,1,1514,7,57,,,
2018,12,6,12/6/2018,NK,20416,NK,N535NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2135,35,35,1,2,2100-2159,17,2152,0,,0,255,248,221,1,1514,7,0,,,
2018,12,20,12/20/2018,NK,20416,NK,N508NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2400,180,180,1,12,2100-2159,14,14,0,,0,245,230,210,1,1514,7,0,,,
2018,12,27,12/27/2018,NK,20416,NK,N510NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2209,69,69,1,4,2100-2159,10,2219,0,,0,245,218,198,1,1514,7,0,,,
2018,12,30,12/30/2018,NK,20416,NK,N521NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2126,26,26,1,1,2100-2159,22,2148,0,,0,245,259,229,1,1514,7,0,,,
2018,12,31,12/31/2018,NK,20416,NK,N527NK,457,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2100,2106,6,6,0,0,2100-2159,31,2137,0,,0,245,256,213,1,1514,7,0,,,
2018,12,1,12/1/2018,OH,20397,OH,N514AE,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2200,120,200,200,1,12,2200-2259,11,131,0,,0,59,58,44,1,240,1,0,,,
2018,12,2,12/2/2018,OH,20397,OH,N501BG,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2200,2301,61,61,1,4,2200-2259,18,2319,0,,0,59,66,45,1,240,1,0,,,
2018,12,3,12/3/2018,OH,20397,OH,N595NN,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2200,2336,96,96,1,6,2200-2259,10,2346,0,,0,59,61,46,1,240,1,24,,,
2018,12,21,12/21/2018,OH,20397,OH,N514AE,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2210,2220,10,10,0,0,2200-2259,20,2240,0,,0,61,67,44,1,240,1,0,,,
2018,12,22,12/22/2018,OH,20397,OH,N550NN,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2210,2215,5,5,0,0,2200-2259,53,2308,0,,0,61,98,39,1,240,1,5,,,
2018,12,29,12/29/2018,OH,20397,OH,N500AE,5048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2210,2250,40,40,1,2,2200-2259,43,2333,0,,0,61,88,42,1,240,1,24,,,
2018,12,1,12/1/2018,OH,20397,OH,N708PS,5707,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,954,4,4,0,0,0900-0959,32,1026,0,,0,112,123,88,1,522,3,0,,,
2018,12,2,12/2/2018,OH,20397,OH,N710PS,5707,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,1015,25,25,1,1,0900-0959,17,1032,0,,0,112,110,88,1,522,3,0,,,
2018,12,4,12/4/2018,OH,20397,OH,N517AE,5707,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,1054,64,64,1,4,0900-0959,31,1125,0,,0,112,122,85,1,522,3,0,,,
2018,12,14,12/14/2018,OH,20397,OH,N501BG,5707,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,1053,63,63,1,4,0900-0959,15,1108,0,,0,112,105,85,1,522,3,0,,,
2018,12,4,12/4/2018,OO,20304,OO,N466SW,5750,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1455,1551,56,56,1,3,1400-1459,35,1626,0,,0,85,87,49,1,323,2,0,,,
2018,12,4,12/4/2018,OO,20304,OO,N151SY,5814,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1005,1018,13,13,0,0,1000-1059,71,1129,0,,0,254,282,209,1,1437,6,0,,,
2018,12,4,12/4/2018,OO,20304,OO,N954SW,5940,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1540,1544,4,4,0,0,1500-1559,67,1651,0,,0,130,172,101,1,585,3,0,,,
2018,12,4,12/4/2018,OO,20304,OO,N132SY,5943,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1003,1011,8,8,0,0,1000-1059,71,1122,0,,0,174,217,139,1,911,4,8,,,
2018,12,5,12/5/2018,OO,20304,OO,N756SK,2951,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1914,2025,71,71,1,4,1900-1959,17,2042,0,,0,56,52,31,1,157,1,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N742SK,2956,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1820,1903,43,43,1,2,1800-1859,39,1942,0,,0,138,157,113,1,693,3,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N703SK,2964,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2020,2023,3,3,0,0,2000-2059,25,2048,0,,0,172,191,159,1,911,4,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N740SK,2977,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1711,1903,112,112,1,7,1700-1759,26,1929,0,,0,99,98,67,1,409,2,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N756SK,2993,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2040,2302,142,142,1,9,2000-2059,11,2313,0,,0,73,59,42,1,215,1,0,2059,33,33
2018,12,5,12/5/2018,OO,20304,OO,N752SK,3004,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1010,1024,14,14,0,0,1000-1059,57,1121,0,,0,111,141,76,1,463,2,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N702SK,3019,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1251,1311,20,20,1,1,1200-1259,17,1328,0,,0,127,122,99,1,738,3,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N706SK,3020,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1856,1924,28,28,1,1,1800-1859,28,1952,0,,0,111,107,73,1,594,3,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N724SK,3037,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,950,1014,24,24,1,1,0900-0959,62,1116,0,,0,62,98,32,1,161,1,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N776SK,3044,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1000,1001,1,1,0,0,1000-1059,63,1104,0,,0,171,210,140,1,911,4,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N760SK,3048,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1320,1355,35,35,1,2,1300-1359,19,1414,0,,0,134,136,111,1,693,3,0,,,
2018,12,5,12/5/2018,OO,20304,OO,N756SK,3070,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1215,1354,99,99,1,6,1200-1259,39,1433,0,,0,134,160,111,1,719,3,0,,,
