YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,2,9,2/9/2018,9E,20363,9E,N919XJ,3965,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1000,1252,172,172,1,11,1000-1059,32,1324,0,,0,139,131,94,1,740,3,12,,,
2018,2,25,2/25/2018,9E,20363,9E,N296PQ,3966,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1815,1933,78,78,1,5,1800-1859,35,2008,0,,0,143,139,89,1,740,3,0,,,
2018,2,28,2/28/2018,9E,20363,9E,N200PQ,3966,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1815,1933,78,78,1,5,1800-1859,20,1953,0,,0,143,116,92,1,740,3,0,,,
2018,2,7,2/7/2018,9E,20363,9E,N308PQ,4066,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,958,178,178,1,11,0700-0759,48,1046,0,,0,139,149,95,1,740,3,178,,,
2018,2,9,2/9/2018,9E,20363,9E,N301PQ,4066,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,749,49,49,1,3,0700-0759,78,907,0,,0,139,169,86,1,740,3,49,712,11,11
2018,2,10,2/10/2018,9E,20363,9E,N601LR,4066,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,857,117,117,1,7,0700-0759,39,936,0,,0,137,134,88,1,740,3,0,,,
2018,2,11,2/11/2018,9E,20363,9E,N138EV,4066,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,705,5,5,0,0,0700-0759,55,800,0,,0,139,157,96,1,740,3,0,,,
2018,2,20,2/20/2018,B6,20409,B6,N296JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1414,216,216,1,12,1000-1059,12,1426,0,,0,131,114,96,1,740,3,0,,,
2018,2,20,2/20/2018,B6,20409,B6,N348JB,1106,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1849,1949,60,60,1,4,1800-1859,20,2009,0,,0,133,120,95,1,740,3,0,,,
2018,2,22,2/22/2018,B6,20409,B6,N358JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2038,2123,45,45,1,3,2000-2059,16,2139,0,,0,135,117,97,1,867,4,0,,,
2018,2,22,2/22/2018,B6,20409,B6,N236JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1106,28,28,1,1,1000-1059,13,1119,0,,0,131,120,95,1,740,3,0,,,
2018,2,22,2/22/2018,B6,20409,B6,N337JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,940,1014,34,34,1,2,0900-0959,20,1034,0,,0,131,128,99,1,867,4,0,,,
2018,2,23,2/23/2018,B6,20409,B6,N192JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1206,88,88,1,5,1000-1059,19,1225,0,,0,131,120,96,1,740,3,0,,,
2018,2,24,2/24/2018,B6,20409,B6,N216JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2038,2115,37,37,1,2,2000-2059,27,2142,0,,0,135,135,104,1,867,4,0,,,
2018,2,24,2/24/2018,B6,20409,B6,N187JB,1106,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1849,1914,25,25,1,1,1800-1859,29,1943,0,,0,133,134,95,1,740,3,0,,,
2018,2,13,2/13/2018,B6,20409,B6,N638JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,940,1019,39,39,1,2,0900-0959,18,1037,0,,0,131,125,100,1,867,4,0,,,
2018,2,14,2/14/2018,B6,20409,B6,N307JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1942,1952,10,10,0,0,1900-1959,52,2044,0,,0,135,164,103,1,867,4,0,,,
2018,2,15,2/15/2018,B6,20409,B6,N265JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1045,7,7,0,0,1000-1059,71,1156,0,,0,131,174,97,1,740,3,0,,,
2018,2,16,2/16/2018,B6,20409,B6,N354JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1125,47,47,1,3,1000-1059,24,1149,0,,0,131,115,85,1,740,3,0,,,
2018,2,17,2/17/2018,B6,20409,B6,N179JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2038,2121,43,43,1,2,2000-2059,18,2139,0,,0,135,128,100,1,867,4,0,,,
2018,2,18,2/18/2018,B6,20409,B6,N307JB,1106,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1849,2006,77,77,1,5,1800-1859,15,2021,0,,0,133,112,89,1,740,3,0,,,
2018,2,19,2/19/2018,B6,20409,B6,N306JB,906,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1038,1046,8,8,0,0,1000-1059,42,1128,0,,0,131,146,99,1,740,3,0,,,
2018,2,19,2/19/2018,B6,20409,B6,N283JB,1106,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1849,1927,38,38,1,2,1800-1859,15,1942,0,,0,133,132,110,1,740,3,0,,,
2018,2,20,2/20/2018,B6,20409,B6,N374JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2038,2131,53,53,1,3,2000-2059,11,2142,0,,0,135,118,104,1,867,4,0,,,
2018,2,1,2/1/2018,B6,20409,B6,N179JB,112,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1942,2222,160,160,1,10,1900-1959,10,2232,0,,0,135,115,101,1,867,4,0,,,
