YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,6,20,6/20/2018,AS,19930,AS,N364VA,1201,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,820,823,3,3,0,0,0800-0859,19,842,0,,0,276,289,258,1,1846,8,0,,,
2018,6,20,6/20/2018,AS,19930,AS,N848VA,1213,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1732,1741,9,9,0,0,1700-1759,27,1808,0,,0,281,298,267,1,1846,8,0,,,
2018,6,21,6/21/2018,AS,19930,AS,N493AS,21,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1925,2038,73,73,1,4,1900-1959,27,2105,0,,0,278,251,214,1,1721,7,0,,,
2018,6,21,6/21/2018,AS,19930,AS,N251AK,29,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1405,1510,65,65,1,4,1400-1459,58,1608,0,,0,276,305,236,1,1721,7,0,,,
2018,6,21,6/21/2018,AS,19930,AS,N275AK,687,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1539,1625,46,46,1,3,1500-1559,47,1712,0,,0,270,267,214,1,1739,7,0,,,
2018,6,21,6/21/2018,AS,19930,AS,N624VA,1213,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1732,1910,98,98,1,6,1700-1759,40,1950,0,,0,281,292,245,1,1846,8,0,,,
2018,6,21,6/21/2018,AS,19930,AS,N285VA,1245,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1855,1924,29,29,1,1,1800-1859,52,2016,0,,0,270,320,251,1,1744,7,0,,,
2018,6,22,6/22/2018,AS,19930,AS,N423AS,21,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1925,2018,53,53,1,3,1900-1959,23,2041,0,,0,278,254,219,1,1721,7,0,,,
2018,6,22,6/22/2018,AS,19930,AS,N320AS,29,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1405,1413,8,8,0,0,1400-1459,64,1517,0,,0,276,290,220,1,1721,7,0,,,
2018,6,22,6/22/2018,AS,19930,AS,N305AS,687,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1539,1600,21,21,1,1,1500-1559,42,1642,0,,0,270,272,225,1,1739,7,0,,,
