YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,3,12,3/12/2018,9E,20363,9E,N309PQ,3292,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1645,1707,22,22,1,1,1600-1659,28,1735,0,,0,86,92,55,1,235,1,6,,,
2018,3,13,3/13/2018,9E,20363,9E,N902XJ,3292,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1645,1750,65,65,1,4,1600-1659,36,1826,0,,0,86,99,55,1,235,1,10,,,
2018,3,15,3/15/2018,9E,20363,9E,N200PQ,3292,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1645,1718,33,33,1,2,1600-1659,18,1736,0,,0,86,78,51,1,235,1,0,,,
2018,3,14,3/14/2018,9E,20363,9E,N8970D,3437,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,825,843,18,18,1,1,0800-0859,30,913,0,,0,72,80,45,1,264,2,0,,,
2018,3,21,3/21/2018,9E,20363,9E,N8946A,3437,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,825,935,70,70,1,4,0800-0859,26,1001,0,,0,72,82,49,1,264,2,0,,,
2018,3,30,3/30/2018,9E,20363,9E,N153PQ,3437,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,825,950,85,85,1,5,0800-0859,14,1004,0,,0,72,66,48,1,264,2,0,,,
2018,3,24,3/24/2018,9E,20363,9E,N917XJ,3455,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1000,1029,29,29,1,1,1000-1059,16,1045,0,,0,69,67,45,1,264,2,0,,,
2018,3,7,3/7/2018,9E,20363,9E,N302PQ,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,1818,13,13,0,0,1800-1859,28,1846,0,,0,80,83,49,1,264,2,0,,,
2018,3,9,3/9/2018,9E,20363,9E,N910XJ,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,1958,113,113,1,7,1800-1859,20,2018,0,,0,80,63,38,1,264,2,0,,,
2018,3,13,3/13/2018,9E,20363,9E,N135EV,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,1908,63,63,1,4,1800-1859,24,1932,0,,0,80,74,44,1,264,2,0,,,
2018,3,22,3/22/2018,9E,20363,9E,N921XJ,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,1941,96,96,1,6,1800-1859,20,2001,0,,0,80,71,45,1,264,2,0,,,
2018,3,23,3/23/2018,9E,20363,9E,N604LR,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,2014,129,129,1,8,1800-1859,24,2038,0,,0,80,74,45,1,264,2,0,,,
2018,3,27,3/27/2018,9E,20363,9E,N272PQ,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,1825,20,20,1,1,1800-1859,40,1905,0,,0,80,87,44,1,264,2,0,,,
2018,3,30,3/30/2018,9E,20363,9E,N607LR,3481,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1805,2000,115,115,1,7,1800-1859,27,2027,0,,0,80,78,46,1,264,2,0,,,
2018,3,4,3/4/2018,9E,20363,9E,N325PQ,3727,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,759,59,59,1,3,0700-0759,16,815,0,,0,133,119,97,1,740,3,0,,,
2018,3,8,3/8/2018,9E,20363,9E,N914XJ,3727,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,1707,607,607,1,12,0700-0759,30,1737,0,,0,133,151,112,1,740,3,0,,,
2018,3,23,3/23/2018,9E,20363,9E,N320PQ,3727,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,914,134,134,1,8,0700-0759,19,933,0,,0,133,120,96,1,740,3,0,,,
2018,3,4,3/4/2018,9E,20363,9E,N313PQ,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,902,949,47,47,1,3,0900-0959,15,1004,0,,0,131,114,92,1,740,3,0,,,
2018,3,7,3/7/2018,9E,20363,9E,N313PQ,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,902,1042,100,100,1,6,0900-0959,22,1104,0,,0,131,138,108,1,740,3,0,,,
2018,3,9,3/9/2018,9E,20363,9E,N926XJ,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,902,945,43,43,1,2,0900-0959,16,1001,0,,0,131,118,96,1,740,3,0,,,
2018,3,16,3/16/2018,9E,20363,9E,N133EV,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,902,938,36,36,1,2,0900-0959,16,954,0,,0,131,120,98,1,740,3,0,,,
2018,3,22,3/22/2018,9E,20363,9E,N316PQ,3808,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,902,1023,81,81,1,5,0900-0959,35,1058,0,,0,131,149,104,1,740,3,81,,,
2018,3,1,3/1/2018,B6,20409,B6,N834JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,942,959,17,17,1,1,0900-0959,19,1018,0,,0,133,131,106,1,867,4,0,,,
2018,3,3,3/3/2018,B6,20409,B6,N273JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,942,1017,35,35,1,2,0900-0959,18,1035,0,,0,133,136,113,1,867,4,0,,,
2018,3,5,3/5/2018,B6,20409,B6,N239JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,940,952,12,12,0,0,0900-0959,18,1010,0,,0,133,143,117,1,867,4,0,,,
2018,3,11,3/11/2018,B6,20409,B6,N238JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,940,951,11,11,0,0,0900-0959,20,1011,0,,0,133,139,108,1,867,4,0,,,
2018,3,22,3/22/2018,B6,20409,B6,N229JB,1012,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,940,1703,443,443,1,12,0900-0959,17,1720,0,,0,133,138,112,1,867,4,0,,,
