YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,5,1,5/1/2018,AS,19930,AS,N248AK,23,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,800,831,31,31,1,2,0800-0859,23,854,0,,0,268,258,229,1,1721,7,0,,,
2018,5,1,5/1/2018,AS,19930,AS,N486AS,27,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,836,156,156,1,10,0600-0659,16,852,0,,0,272,247,226,1,1721,7,0,549,4,4
2018,5,1,5/1/2018,AS,19930,AS,N492AS,29,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1408,1428,20,20,1,1,1400-1459,18,1446,0,,0,264,262,232,1,1721,7,0,,,
2018,5,2,5/2/2018,AS,19930,AS,N487AS,21,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1940,104,324,324,1,12,1900-1959,19,123,0,,0,268,257,233,1,1721,7,71,103,17,17
2018,5,2,5/2/2018,AS,19930,AS,N630VA,1211,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1745,1820,35,35,1,2,1700-1759,62,1922,0,,0,284,335,266,1,1846,8,35,,,
2018,5,3,5/3/2018,AS,19930,AS,N408AS,21,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1935,2022,47,47,1,3,1900-1959,31,2053,0,,0,268,263,227,1,1721,7,0,,,
2018,5,3,5/3/2018,AS,19930,AS,N407AS,23,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,800,954,114,114,1,7,0800-0859,18,1012,0,,0,268,259,229,1,1721,7,0,,,
2018,5,3,5/3/2018,AS,19930,AS,N323AS,29,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1408,1429,21,21,1,1,1400-1459,18,1447,0,,0,264,258,235,1,1721,7,0,,,
2018,5,3,5/3/2018,AS,19930,AS,N468AS,687,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1715,1736,21,21,1,1,1700-1759,34,1810,0,,0,263,274,236,1,1739,7,21,,,
2018,5,3,5/3/2018,AS,19930,AS,N624VA,1211,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1745,1805,20,20,1,1,1700-1759,23,1828,0,,0,284,296,269,1,1846,8,4,,,
2018,5,5,5/5/2018,AS,19930,AS,N585AS,21,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1955,2102,67,67,1,4,1900-1959,26,2128,0,,0,268,269,237,1,1721,7,0,,,
2018,5,5,5/5/2018,AS,19930,AS,N478AS,27,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,649,49,49,1,3,0600-0659,11,700,0,,0,272,247,230,1,1721,7,0,,,
2018,5,5,5/5/2018,AS,19930,AS,N362VA,1241,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1856,2023,87,87,1,5,1800-1859,32,2055,0,,0,281,265,227,1,1744,7,0,,,
