YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,WEATHER_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME
2018,11,2,11/2/2018,AA,19805,AA,N908NN,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1851,1911,20,20,1,1,1800-1859,14,1925,0,,0,61,66,35,1,177,1,0,,,
2018,11,4,11/4/2018,AA,19805,AA,N916NN,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1851,1920,29,29,1,1,1800-1859,19,1939,0,,0,60,60,35,1,177,1,0,,,
2018,11,16,11/16/2018,AA,19805,AA,N976AN,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1825,1826,1,1,0,0,1800-1859,39,1905,0,,0,61,78,33,1,177,1,0,,,
2018,11,20,11/20/2018,AA,19805,AA,N338PK,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1825,1839,14,14,0,0,1800-1859,37,1916,0,,0,61,73,30,1,177,1,0,,,
2018,11,27,11/27/2018,AA,19805,AA,N970NN,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1851,1924,33,33,1,2,1800-1859,19,1943,0,,0,60,58,31,1,177,1,15,,,
2018,11,28,11/28/2018,AA,19805,AA,N852NN,2759,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1851,2023,92,92,1,6,1800-1859,17,2040,0,,0,60,55,31,1,177,1,0,,,
2018,11,18,11/18/2018,AA,19805,AA,N974AN,2764,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1356,1424,28,28,1,1,1300-1359,23,1447,0,,0,122,112,79,1,599,3,0,,,
2018,11,25,11/25/2018,AA,19805,AA,N928AN,2764,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1356,1419,23,23,1,1,1300-1359,23,1442,0,,0,122,128,81,1,599,3,18,,,
2018,11,1,11/1/2018,AA,19805,AA,N969AN,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,855,856,1,1,0,0,0800-0859,27,923,0,,0,171,190,159,1,1120,5,0,,,
2018,11,2,11/2/2018,AA,19805,AA,N809NN,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,855,900,5,5,0,0,0800-0859,16,916,0,,0,171,183,164,1,1120,5,0,,,
2018,11,4,11/4/2018,AA,19805,AA,N991NN,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,900,917,17,17,1,1,0900-0959,14,931,0,,0,173,173,154,1,1120,5,0,,,
2018,11,9,11/9/2018,AA,19805,AA,N338PK,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,900,912,12,12,0,0,0900-0959,30,942,0,,0,173,189,153,1,1120,5,12,,,
2018,11,17,11/17/2018,AA,19805,AA,N946NN,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,900,926,26,26,1,1,0900-0959,27,953,0,,0,173,174,141,1,1120,5,26,,,
2018,11,27,11/27/2018,AA,19805,AA,N966NN,2774,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,900,1019,79,79,1,5,0900-0959,16,1035,0,,0,173,158,136,1,1120,5,0,,,
2018,11,8,11/8/2018,AA,19805,AA,N905AN,2780,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,744,752,8,8,0,0,0700-0759,22,814,0,,0,160,178,149,1,888,4,0,,,
