THUNDERSTORM_BINS,WEATHER_DELAY,LENGTH_OF_THUNDERSTORM
0-60,607.7741935483871,23.56891495601173
61-120,1476.625,90.30555555555556
121-180,1471.25,158.5
181-240,1343.1,195.6
241-300,1353.5384615384614,252.0
301-360,1236.375,331.0
361-420,,
421-480,1457.6666666666667,458.0
481-540,1464.0,531.0
541-600,,
601-660,1512.65,649.4
661-720,1633.3636363636363,707.1818181818181
721-780,,
781-840,1808.076923076923,819.0
841-900,1678.8333333333333,893.0
901-960,1274.576923076923,943.3076923076923
961-1020,,
1021-1080,,
1081-1140,,
1141-1200,,
1201-1260,,
1261-1320,1745.3333333333333,1302.0
