,FL_DATE,Duration of Event,Duration in Minutes
0,2018-01-22,0 days 00:32:00.000000000,32.0
1,2018-02-20,0 days 00:18:00.000000000,18.0
2,2018-05-02,0 days 01:53:00.000000000,113.0
3,2018-05-03,0 days 21:42:00.000000000,1302.0
4,2018-05-09,0 days 11:59:00.000000000,719.0
5,2018-05-12,0 days 01:04:00.000000000,64.0
6,2018-05-13,0 days 08:51:00.000000000,531.0
7,2018-05-14,0 days 14:53:00.000000000,893.0
8,2018-05-15,0 days 02:00:00.000000000,120.0
9,2018-05-20,0 days 00:00:00.000000000,0.0
10,2018-05-21,0 days 04:12:00.000000000,252.0
11,2018-05-30,0 days 03:17:00.000000000,197.0
12,2018-06-03,0 days 01:06:00.000000000,66.0
13,2018-06-08,0 days 00:27:00.000000000,27.0
14,2018-06-09,0 days 05:31:00.000000000,331.0
15,2018-06-10,0 days 01:17:00.000000000,77.0
16,2018-06-16,0 days 02:17:00.000000000,137.0
17,2018-06-19,0 days 00:00:00.000000000,0.0
18,2018-06-26,0 days 11:33:00.000000000,693.0
19,2018-06-27,0 days 01:12:00.000000000,72.0
20,2018-07-01,0 days 00:14:00.000000000,14.0
21,2018-07-05,0 days 15:46:00.000000000,946.0
22,2018-07-16,0 days 00:00:00.000000000,0.0
23,2018-08-01,0 days 02:39:00.000000000,159.0
24,2018-08-02,0 days 00:00:00.000000000,0.0
25,2018-08-06,0 days 01:30:00.000000000,90.0
26,2018-08-07,0 days 00:08:00.000000000,8.0
27,2018-08-10,0 days 00:57:00.000000000,57.0
28,2018-08-15,0 days 00:41:00.000000000,41.0
29,2018-08-16,0 days 01:29:00.000000000,89.0
30,2018-08-17,0 days 00:45:00.000000000,45.0
31,2018-08-21,0 days 01:30:00.000000000,90.0
32,2018-08-25,0 days 02:37:00.000000000,157.0
33,2018-08-28,0 days 10:53:00.000000000,653.0
34,2018-08-29,0 days 03:15:00.000000000,195.0
35,2018-09-01,0 days 13:39:00.000000000,819.0
36,2018-09-02,0 days 07:38:00.000000000,458.0
37,2018-09-03,0 days 15:39:00.000000000,939.0
38,2018-09-05,0 days 00:15:00.000000000,15.0
39,2018-09-19,0 days 00:00:00.000000000,0.0
40,2018-09-25,0 days 00:22:00.000000000,22.0
41,2018-10-02,0 days 01:44:00.000000000,104.0
42,2018-10-06,0 days 10:35:00.000000000,635.0
43,2018-10-08,0 days 00:24:00.000000000,24.0
44,2018-10-30,0 days 00:09:00.000000000,9.0
45,2018-10-31,0 days 00:00:00.000000000,0.0
46,2018-12-01,0 days 00:00:00.000000000,0.0
