AIRPORT_ID,YEAR,MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,field1,FL_DATE,DurationofEvent,DurationinMinutes
123,2018,1,22,1/22/2018,B6,20409,B6,N236JB,312,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1330,1351,21,21,1,1,1300-1359,30,1421,0,,0,135,147,108,1,867,4,2,0,12,0,19,,,,0,1/22/2018,0 days 00:32:00.000000000,32
150,2018,1,22,1/22/2018,EV,20366,EV,N14158,3966,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1337,1353,16,16,1,1,1300-1359,35,1428,0,,0,128,143,101,1,666,3,3,0,15,0,13,,,,0,1/22/2018,0 days 00:32:00.000000000,32
175,2018,1,22,1/22/2018,EV,20366,EV,N12540,4014,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1920,2028,68,68,1,4,1900-1959,19,2047,0,,0,125,110,84,1,557,3,53,0,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
249,2018,1,22,1/22/2018,NK,20416,NK,N665NK,121,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,700,733,33,33,1,2,0700-0759,26,759,0,,0,173,183,153,1,1120,5,0,0,43,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
272,2018,1,22,1/22/2018,NK,20416,NK,N602NK,295,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2035,2331,176,176,1,11,2000-2059,20,2351,0,,0,169,161,133,1,925,4,0,0,0,0,168,,,,0,1/22/2018,0 days 00:32:00.000000000,32
278,2018,1,22,1/22/2018,NK,20416,NK,N531NK,357,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,855,1229,214,214,1,12,0800-0859,23,1252,0,,0,241,224,197,1,1514,7,197,0,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
852,2018,1,22,1/22/2018,VX,21171,VX,N528VA,1215,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1645,1703,18,18,1,1,1600-1659,33,1736,0,,0,295,299,256,1,1846,8,0,0,4,0,18,,,,0,1/22/2018,0 days 00:32:00.000000000,32
867,2018,1,22,1/22/2018,YX,20452,YX,N635RW,3680,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,915,1142,147,147,1,9,0900-0959,17,1159,0,,0,149,125,103,1,693,3,123,0,0,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
893,2018,1,22,1/22/2018,AA,19805,AA,N653AW,547,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1715,1802,47,47,1,3,1700-1759,38,1840,0,,0,240,237,190,1,1440,6,0,0,44,0,0,,,,0,1/22/2018,0 days 00:32:00.000000000,32
909,2018,1,22,1/22/2018,AA,19805,AA,N992AN,2704,13930,1393006,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1835,1917,42,42,1,2,1800-1859,16,1933,0,,0,115,116,95,1,606,3,26,0,1,0,16,,,,0,1/22/2018,0 days 00:32:00.000000000,32
