,station,valid,lon,lat,wxcodes,Date,Time
0,ORD,2018-01-22 11:45,-87.9319,41.9875,TSRA BR,2018-01-22,11:45
1,ORD,2018-01-22 11:51,-87.9319,41.9875,TSRA BR,2018-01-22,11:51
2,ORD,2018-01-22 12:17,-87.9319,41.9875,+TSRA BR,2018-01-22,12:17
3,ORD,2018-02-20 19:06,-87.9319,41.9875,-TSRA,2018-02-20,19:06
4,ORD,2018-02-20 19:11,-87.9319,41.9875,TSRA,2018-02-20,19:11
5,ORD,2018-02-20 19:24,-87.9319,41.9875,+TSRA BR,2018-02-20,19:24
6,ORD,2018-05-02 21:31,-87.9319,41.9875,VCTS,2018-05-02,21:31
7,ORD,2018-05-02 21:40,-87.9319,41.9875,-TSRA,2018-05-02,21:40
8,ORD,2018-05-02 21:51,-87.9319,41.9875,-TSRA,2018-05-02,21:51
9,ORD,2018-05-02 23:15,-87.9319,41.9875,TS,2018-05-02,23:15
10,ORD,2018-05-02 23:24,-87.9319,41.9875,-TSRA,2018-05-02,23:24
11,ORD,2018-05-03 00:09,-87.9319,41.9875,VCTS,2018-05-03,00:09
12,ORD,2018-05-03 00:15,-87.9319,41.9875,-TSRA,2018-05-03,00:15
13,ORD,2018-05-03 00:51,-87.9319,41.9875,-TSRA,2018-05-03,00:51
14,ORD,2018-05-03 01:05,-87.9319,41.9875,+TSRA,2018-05-03,01:05
15,ORD,2018-05-03 01:11,-87.9319,41.9875,+TSRA BR,2018-05-03,01:11
16,ORD,2018-05-03 01:14,-87.9319,41.9875,+TSRA BR,2018-05-03,01:14
17,ORD,2018-05-03 01:17,-87.9319,41.9875,-TSRA BR,2018-05-03,01:17
18,ORD,2018-05-03 01:19,-87.9319,41.9875,-TSRA,2018-05-03,01:19
19,ORD,2018-05-03 01:51,-87.9319,41.9875,VCTS,2018-05-03,01:51
20,ORD,2018-05-03 03:18,-87.9319,41.9875,TS,2018-05-03,03:18
21,ORD,2018-05-03 03:51,-87.9319,41.9875,-TSRA,2018-05-03,03:51
22,ORD,2018-05-03 04:09,-87.9319,41.9875,-TSRA BR,2018-05-03,04:09
23,ORD,2018-05-03 04:17,-87.9319,41.9875,-TSRA BR,2018-05-03,04:17
24,ORD,2018-05-03 04:23,-87.9319,41.9875,TSRA BR,2018-05-03,04:23
25,ORD,2018-05-03 04:31,-87.9319,41.9875,+TSRA BR,2018-05-03,04:31
26,ORD,2018-05-03 04:40,-87.9319,41.9875,+TSRA BR,2018-05-03,04:40
27,ORD,2018-05-03 04:49,-87.9319,41.9875,-TSRA,2018-05-03,04:49
28,ORD,2018-05-03 04:51,-87.9319,41.9875,TS,2018-05-03,04:51
29,ORD,2018-05-03 05:04,-87.9319,41.9875,+TSRA BR,2018-05-03,05:04
30,ORD,2018-05-03 05:17,-87.9319,41.9875,-TSRA BR,2018-05-03,05:17
31,ORD,2018-05-03 05:26,-87.9319,41.9875,-TSRA,2018-05-03,05:26
32,ORD,2018-05-03 07:51,-87.9319,41.9875,VCTS,2018-05-03,07:51
33,ORD,2018-05-03 21:39,-87.9319,41.9875,VCTS,2018-05-03,21:39
34,ORD,2018-05-03 21:42,-87.9319,41.9875,-TSRA,2018-05-03,21:42
35,ORD,2018-05-03 21:51,-87.9319,41.9875,-TSRA,2018-05-03,21:51
36,ORD,2018-05-09 11:22,-87.9319,41.9875,TS,2018-05-09,11:22
37,ORD,2018-05-09 11:51,-87.9319,41.9875,-TSRA,2018-05-09,11:51
38,ORD,2018-05-09 12:18,-87.9319,41.9875,TSRA,2018-05-09,12:18
39,ORD,2018-05-09 12:21,-87.9319,41.9875,+TSRA,2018-05-09,12:21
40,ORD,2018-05-09 12:32,-87.9319,41.9875,+TSRA,2018-05-09,12:32
41,ORD,2018-05-09 12:39,-87.9319,41.9875,-TSRA,2018-05-09,12:39
42,ORD,2018-05-09 12:51,-87.9319,41.9875,-TSRA,2018-05-09,12:51
43,ORD,2018-05-09 21:29,-87.9319,41.9875,VCTS,2018-05-09,21:29
44,ORD,2018-05-09 21:33,-87.9319,41.9875,TS,2018-05-09,21:33
45,ORD,2018-05-09 21:51,-87.9319,41.9875,TS,2018-05-09,21:51
46,ORD,2018-05-09 22:08,-87.9319,41.9875,-TSRA,2018-05-09,22:08
