EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
866322,CARTERET CO.,TRUTTNEYS LNDG,11/1/2019,15,Tornado, ,0,0,0,0,0,NC,EST-5, ,144335,C,31,MHX,0,0,NWS Storm Survey, ,0.37,60,1,NNW,1,NNW,TRUTTNEYS LNDG,34.7394,-77.1094,34.7411,-77.1053,"A brief tornado occurred near the intersection of 3 Oaks Ln and West|Firetower Rd. The tornado formed near the White Oak River, and tracked|in a northeasterly direction, crossing 3 Oaks Ln, where the majority of|damage was concentrated. There was a strong vinyl horse fence that was |severely damaged, with a 60 yard portion of it broken and blown down |nearly to the ground. Most of the damage was confined to tree limbs |that were snapped off of both hardwood trees and softwood pine trees. |The largest tree limb was about 1 foot in diameter, with many smaller 3|to 6 inch diameter tree limbs snapped. The majority of the branches |were blown to the northeast, consistent with the fast northeasterly |storm motion.","A strong cold front moved across Eastern North Carolina overnight into the early morning of November 1st.  Ahead and along this front, a strong line of thunderstorms developed and moved through the area. Along this line, a brief tornado formed over southwestern Carteret County, shortly after midnight (LST).",1
859389,MARTIN CO.,WAVELAND,11/5/2019,1620,Tornado, ,0,0,0,0,0,FL,EST-5, ,143272,C,85,MLB,0,0,County Official, ,0.26,10,2,ENE,2,ENE,WAVELAND,27.214,-80.1729,27.2123,-80.1766,"Martin County Beach Patrol reported a waterspout offshore of Stuart Beach at 1620 LST. The beach was evacuated as the waterspout came onshore and became a short-lived tornado. Numerous reports were received from trained spotters and the public as the waterspout moved slightly inland. After moving onshore, a trained spotter relayed that the spout dissipated quickly near the Hutchinson Island Marriott at 1623 LST. No damage was reported.","A strong thunderstorm produced a waterspout just offshore of Stuart Beach. As the storm moved inland the waterspout came onshore and became a short-lived, weak tornado.",2
864077,MOBILE CO.,PRICHARD,11/7/2019,1335,Tornado, ,0,0,0,0,0,AL,CST-6, ,143956,C,97,MOB,0,0,NWS Storm Survey, ,0.38,25,0,SW,0,SSE,PRICHARD,30.7248,-88.0548,30.726,-88.0486,"The storm survey team surveyed the areas around Telegraph Road and Industrial Canal Road based on public video of the tornado touchdown in the area. After surveying the area and speaking with people that witnessed the tornado, it was determined that the tornado was very weak and overall caused little damage. The primary damage noted was a snapped small tree on the banks of Three Mile Creek and a blown down power pole. Insulation from an industrial building was blown out, but the roof overall did not sustain appreciable damage.  The start and end points are rough estimates based on the limited access of the area to the survey team. Based on video, the tornado likely moved across Threemile Creek and part of the Mobile River. It is possible the tornado|continued across US Highway 90 into Blakeley Island. However, the team could|not find any damage points to extend the track further east.","Thunderstorms moved across the area during the day. One of the storms became severe and produced brief, weak tornado in Mobile County.",3
857875,SMITH CO.,DANIEL,11/27/2019,32,Tornado, ,0,0,0,15000,0,MS,CST-6, ,142955,C,129,JAN,0,0,NWS Storm Survey, ,2.79,50,2,NNW,2,SE,POLKVILLE,32.1528,-89.7312,32.1616,-89.6847,"This tornado started just east of Johns on the north side of Johns-Mayton Rd where several large tree limbs were snapped. The tornado tracked northeast and reached peak intensity of EF1 with 95 mph winds as it crossed Hwy 43. Here, several hardwood and softwood trees were uprooted with numerous large limbs snapped. The tornado continued northeast through a wooded area before crossing Woodrow Martin Rd where a few large limbs were also snapped. The tornado crossed into Smith County causing minor tree damage, crossing SCR-142 and Hwy 13 before ending at SCR-131 and SCR 135. Maximum winds were 95 mph in Rankin County, total path length was 7.26 miles. Maximum width was 75 yards in Rankin County.","Warm, moist air was in place across central Mississippi during the afternoon and evening of November 26th. As a strong cold front neared the region, supercell thunderstorms developed ahead of the front. These storms tapped into plenty of wind shear in place across the region and this resulted in some wind damage.",9
865868,PIKE CO.,BRUNDIDGE MUNI ARPT,11/27/2019,905,Tornado, ,0,0,0,0,0,AL,CST-6, ,144257,C,109,BMX,0,0,NWS Storm Survey, ,0.48,65,1,E,1,E,BRUNDIDGE MUNI ARPT,31.7283,-85.7842,31.7266,-85.7764,"National Weather Service meteorologists surveyed damage in southeast Pike County, just northeast of the town of Brundidge, and determined that it was consistent with an EF0 tornado, with maximum sustained winds near 70 mph.||The tornado touched down in an open field near the intersection of Highway 10 and County Road 81. The first indicated damage was a tin roof removed from an older manufactured home and an uprooted hardwood tree. The tornado moved east-southeastward and damaged a manufactured home. The manufactured home was slightly shifted off its supports, and sustained skirting damage and a broken window. There was also light splatter on all four sides of the home. The tornado produced minor small limb damage as it crossed Alabama Highway 10. The tornado then uprooted five pecan trees, with a slightly convergent pattern. Another hardwood was uprooted just off the shoulder north of Alabama Highway 10, also indicative of convergence. The tornado dissipated rapidly past this point and produced no further damage.",A narrow band of thunderstorms along a pre-frontal trough tracked across the southeast portions of Central Alabama during the morning hours.  Deep layer bulk shear and low level helicity values were sufficient enough to produce three weak tornadoes.,10
865867,BARBOUR CO.,CLIO,11/27/2019,919,Tornado, ,0,0,0,0,0,AL,CST-6, ,144257,C,5,BMX,0,0,NWS Storm Survey, ,1.15,40,1,WNW,1,ENE,CLIO,31.724,-85.6294,31.7231,-85.6099,"National Weather Service meteorologists surveyed damage in southwest Barbour County and determined that it was consistent with an EF0 tornado, with maximum sustained winds near 60 mph.||The tornado touched down a few miles northwest of the town of Clio. Doppler RADAR showed a tornado debris signature (TDS) associated with an area of rotation as the cell moved eastward towards Highway 51. Minor tree damage was noted on Alabama Highway 10 as well as on Highway 51. Given radar evidence, a brief EF0 track was assigned to an area on the northwest side of Clio. Tornado intensity was estimated using velocity strength and TDS height.",A narrow band of thunderstorms along a pre-frontal trough tracked across the southeast portions of Central Alabama during the morning hours.  Deep layer bulk shear and low level helicity values were sufficient enough to produce three weak tornadoes.,11
865869,BARBOUR CO.,BAXTERS,11/27/2019,926,Tornado, ,0,0,0,0,0,AL,CST-6, ,144257,C,5,BMX,0,0,NWS Storm Survey, ,2.13,55,3,SE,3,W,LINDSEY,31.7199,-85.5568,31.7432,-85.533,"National Weather Service meteorologists surveyed damage in southwest Barbour County and determined that it was consistent with an EF0 tornado, with maximum sustained winds near 65 mph.||The tornado touched just northeast of the town of Clio, near the intersection of County Road 23 and Baxters Sexton Road. The tornado tracked northeast and crossed Blue Springs Road, where only minor tree damage observed.  The tornado dissipated near County Road 33.",A narrow band of thunderstorms along a pre-frontal trough tracked across the southeast portions of Central Alabama during the morning hours.  Deep layer bulk shear and low level helicity values were sufficient enough to produce three weak tornadoes.,12
863479,MARICOPA CO.,SUNNYSLOPE,11/29/2019,349,Tornado, ,0,0,0,40000,0,AZ,MST-7, ,143813,C,13,PSR,0,0,Public, ,10.09,100,3,WSW,3,E,PHOENIX DEER VLY ARP,33.56,-112.12,33.68,-112.02,"A powerful Pacific upper level low and associated cold front pushed east across the central and northern portions of the greater Phoenix metropolitan area during the early morning hours on November 29th. Due to elevated levels of wind shear and instability, the front spawned several tornadoes in the Phoenix area, including one that tracked through portions of North Phoenix and Deer Valley. The tornado moved to the northeast, across Lookout Mountain, and ended near the intersection of Loop 101 and Highway 51. The tornado, which was spotted by both the public and members of local broadcast media, touched down at about 0349MST and lifted back in the sky at 0359MST. The path length was nearly 10 miles. There were numerous reports of damage, some reported via social media. Broadcast media reported several trees downed along Thunderbird Road between 7th Avenue and 3rd Street. Media also reported several trees downed about 5 miles southeast of Deer Valley, and a carport was also destroyed. Additionally, at 0355MST the public reported that a carport was blown over onto some cars near the intersection of Bell Road and 15th Street. Fortunately there were no reports of injuries or fatalities due to the tornado.","A powerful Pacific low pressure system, accompanied by a strong cold front, pushed east across south central Arizona during the early morning hours on November 29th. Due to elevated levels of both wind shear and instability, the cold front spawned a pair of tornadoes which moved northeast through communities to the north of central Phoenix, including Deer Valley, Glendale and North Scottsdale. The tornado that moved across Deer Valley was short lived, with a narrow path width, and was classified as an EF0. The second tornado that moved through North Scottsdale area had a path length over 8 miles, produced significant damage and was classified as an EF1. The tornadoes did not result in any injuries or fatalities. Most of the damage reported came in the form of downed trees as well as roof damage. The tornadoes occurred around 0400MST.",13
863484,MARICOPA CO.,CACTUS,11/29/2019,354,Tornado, ,0,0,0,100000,0,AZ,MST-7, ,143813,C,13,PSR,0,0,NWS Storm Survey, ,8.85,200,2,SSW,2,NW,SCOTTSDALE MUNI,33.56,-112.06,33.64,-111.94,"A powerful Pacific upper level low and associated cold front moved east across central and northern portions of the greater Phoenix metropolitan area during the early morning hours on November 29th. Due to elevated levels of wind shear and instability, the front generated several tornadoes in the Phoenix area, including one that tracked to the northeast from eastern Glendale into portions of north Scottsdale. According to a NWS storm survey, the tornado had a path length more than 8 miles and was estimated to be an Ef1 in strength. The tornado began just west of Phoenix Mountain Park and ended near the west side of the Scottsdale TPC Golf Course. There were a number of damage reports associated with the tornado along its path. Many of them were related to downed trees including some with diameters up to 3 feet across. A trained spotter 4 miles west of North Scottsdale reported that some trees fell on vehicles causing damage. Additionally, there were reports of roofs removed and damaged along the path of the tornado. Finally, about 6 miles east of Glendale, Channel 3 TV reported that a very large tree fell on a carport and caused it to collapse upon a car. The fallen tree was just south of Northern Avenue, between 7th and 3rd Avenues. Fortunately there were no reports of any injuries or fatalities.","A powerful Pacific low pressure system, accompanied by a strong cold front, pushed east across south central Arizona during the early morning hours on November 29th. Due to elevated levels of both wind shear and instability, the cold front spawned a pair of tornadoes which moved northeast through communities to the north of central Phoenix, including Deer Valley, Glendale and North Scottsdale. The tornado that moved across Deer Valley was short lived, with a narrow path width, and was classified as an EF0. The second tornado that moved through North Scottsdale area had a path length over 8 miles, produced significant damage and was classified as an EF1. The tornadoes did not result in any injuries or fatalities. Most of the damage reported came in the form of downed trees as well as roof damage. The tornadoes occurred around 0400MST.",14
863395,MARICOPA CO.,HIGLEY,11/29/2019,441,Tornado, ,0,0,0,25000,0,AZ,MST-7, ,143786,C,13,PSR,0,0,NWS Storm Survey, ,4.5,100,2,WSW,3,NNE,HIGLEY,33.29,-111.75,33.34,-111.7,"A powerful Pacific upper low and associated cold front moved east across the central deserts during the early morning hours on November 29th. Due to elevated levels of both wind shear and instability, the cold front was able to produce several weak tornadoes in the Phoenix area including two to the southeast of central Phoenix. According to a NWS storm survey, one of the tornadoes tracked to the northeast along the Loop 202, about 2 miles southwest of Higley. The tornado was short lived with a width near 100 yards, and was rated as an EF0. The tornado did produce a bit of damage; small trees were damaged in 2 shopping center parking lots and there were multiple spotter reports of additional damage, mostly trees that were downed.","A powerful Pacific low pressure system, accompanied by a strong cold front, pushed east across south central Arizona during the early morning hours on November 29th. Due to elevated levels of both wind shear and instability, the cold front spawned a pair of tornadoes which move northeast through communities to the southeast of central Phoenix, including Queen Creek and Higley. The tornadoes were short lived, with narrow path widths, and were both classified as an EF0. The tornadoes did not result in any injuries or fatalities but they did produce modest amounts of damage, including downed trees and power poles, as well as smaller trees blown over in 2 shopping center parking lots. The tornadoes occurred around 0500MST.",15
863374,MARICOPA CO.,QUEEN CREEK,11/29/2019,451,Tornado, ,0,0,0,80000,0,AZ,MST-7, ,143786,C,13,PSR,0,0,NWS Employee, ,3.56,100,1,S,2,ENE,BOYS RANCH,33.23,-111.63,33.26,-111.58,"A large Pacific upper low moving east across Arizona was accompanied by a strong cold front that moved across the greater Phoenix metropolitan area during the early morning hours on November 29th. Due to high levels of wind shear and instability, the front generated several tornadoes, one of which briefly moved through the community of Queen Creek at around 0450MST. According to a NWS employee, the tornado resulted in moderate damage, downing a number of trees as well as knocking down several power poles. Some roof damage was also noted. Fortunately there were no injuries reported. Damage surveys indicated that the tornado was on the ground less than 10 minutes and had a short path, with a width between 50 and 100 yards.","A powerful Pacific low pressure system, accompanied by a strong cold front, pushed east across south central Arizona during the early morning hours on November 29th. Due to elevated levels of both wind shear and instability, the cold front spawned a pair of tornadoes which move northeast through communities to the southeast of central Phoenix, including Queen Creek and Higley. The tornadoes were short lived, with narrow path widths, and were both classified as an EF0. The tornadoes did not result in any injuries or fatalities but they did produce modest amounts of damage, including downed trees and power poles, as well as smaller trees blown over in 2 shopping center parking lots. The tornadoes occurred around 0500MST.",16
